1,2,3,4,5,6,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Symbol,Ticker,Cash ,Name,FUT_CONT_SIZE Sep,Futs1,Futs2,name august,name sep,ID_BB_GLOBAL August ,ID SEP,FUT_CONT_SIZE August,FUT_CONT_SIZE Sep,px_last
,IEX,IEX IS Equity,INDIAN ENERGY EXCHANGE LTD,3750,IEX=Q5 is equity,IEX=U5 is equity,INDIAN ENERGY EX Aug25,INDIAN ENERGY EX Sep25,BBG01V9XSC47,BBG01VT8QG16,3750,3750,140.56
,IGL,IGL IS Equity,INDRAPRASTHA GAS LTD,2750,IGL=Q5 is equity,IGL=U5 is equity,INDRAPRASTHA GAS Aug25,INDRAPRASTHA GAS Sep25,BBG01V9XSJP9,BBG01VT8QMM0,2750,2750,205.56
,IIFL,IIFL IS Equity,IIFL FINANCE LTD,1650,IIFL=Q5 is equity,IIFL=U5 is equity,IIFL FINANCE LTD Aug25,IIFL FINANCE LTD Sep25,BBG01V9XSF22,BBG01VT8QHL2,1650,1650,449.25
,IH,IH IS Equity,INDIAN HOTELS CO LTD,1000,IH=Q5 is equity,IH=U5 is equity,INDIAN HOTELS LTD Aug25,INDIAN HOTELS LTD Sep25,BBG01V9XSHM6,BBG01VT8QL06,1000,1000,765.45
,INBK,INBK IS Equity,INDIAN BANK,1000,INBK=Q5 is equity,INBK=U5 is equity,INDIAN BANK Aug25,INDIAN BANK Sep25,BBG01V9XSK03,BBG01VT8QMZ6,1000,1000,668.15
,INDIG,INDIGO IS Equity,INTERGLOBE AVIATION LTD,150,INDIG=Q5 is equity,INDIG=U5 is equity,INTERGLOBE AVIAT Aug25,INTERGLOBE AVIAT Sep25,BBG01V9XSL74,BBG01VT8QP34,150,150,5983
INDUSINDBK,IIB,IIB IS Equity,INDUSIND BANK LTD,700,IIB=Q5 is equity,IIB=U5 is equity,INDUSIND BANK Aug25,INDUSIND BANK Sep25,BBG01V9XSJ79,BBG01VT8QM59,700,700,777.6
INDUSTOWER,INDUS,INDUSTOW IS Equity,INDUS TOWERS LTD,1700,INDUS=Q5 is equity,INDUS=U5 is equity,INDUS TOWERS LTD Aug25,INDUS TOWERS LTD Sep25,BBG01V9XSKT2,BBG01VT8QNS2,1700,1700,333.45
INFY,INFO,INFO IS Equity,INFOSYS LTD,400,INFO=Q5 is equity,INFO=U5 is equity,Infosys Ltd Aug25,Infosys Ltd Sep25,BBG01V9XSGL9,BBG01VT8QK26,400,400,1455.5
,INXW,INXW IS Equity,INOX WIND LTD,3272,INXW=Q5 is equity,INXW=U5 is equity,INOX WIND LTD Aug25,INOX WIND LTD Sep25,BBG01V9XSF86,BBG01VT8QHR6,3272,3272,137.82
,IOCL,IOCL IS Equity,INDIAN OIL CORP LTD,4875,IOCL=Q5 is equity,IOCL=U5 is equity,Indian Oil Corp Aug25,Indian Oil Corp Sep25,BBG01V9XSJ15,BBG01VT8QLZ8,4875,4875,142.21
